dam_nm,obsrvt_nm,msmt_tm,rain_qy,acml_rain_qy
지자체(봉화),봉성면(봉화),2020051023,0,193.5
지자체(봉화),봉화읍(봉화),2020051023,0,131
지자체(봉화),상운면(봉화),2020051023,0,138
지자체(봉화),대골(봉화),2020051023,0,198
지자체(봉화),물야(봉화),2020051023,0,84
홍수통제소,문경시(농암리),2020051023,0,235
홍수통제소,문경시(김용리),2020051023,0,185
홍수통제소,상주시(화북초교),2020051023,0,244
홍수통제소,문경시(진안리),2020051023,0,209
홍수통제소,문경시(화산리),2020051023,0,245
홍수통제소,상주시(후천교),2020051023,0,204
홍수통제소,상주시(하송리),2020051023,0,219
홍수통제소,상주시(외서면사무소),2020051023,0,218
홍수통제소,상주시(이안교),2020051023,0,192
홍수통제소,군위군(고로면),2020051023,0,192
군위,군위군(군위댐),2020051023,0,176
홍수통제소,의성군(도서리),2020051023,0,189
홍수통제소,군위군(정리),2020051023,0,185
홍수통제소,의성군(안계면사무소),2020051023,0,176
홍수통제소,군위군(화수리),2020051023,0,187
홍수통제소,군위군(미성교),2020051023,0,187
홍수통제소,군위군(산성중학교),2020051023,0,179
홍수통제소,군위군(효령교),2020051023,0,163
홍수통제소,군위군(고곡리),2020051023,0,193
홍수통제소,군위군(대율초교),2020051023,0,195
홍수통제소,군위군(무성리),2020051023,0,196
홍수통제소,군위군(읍내리),2020051023,0,191
군위,군위군(양지리),2020051023,0,191
홍수통제소,의성군(도원리),2020051023,0,201
김천부항,김천시(월곡리),2020051023,0,240
김천부항,김천시(파천리),2020051023,0,259
김천부항,김천시(김천부항댐),2020051023,0,233
홍수통제소,의성군(낙단교),2020051023,0,171
홍수통제소,김천시(부곡동),2020051023,0,193
홍수통제소,김천시(지례면사무소),2020051023,0,210
홍수통제소,부항1(국),2020051023,0,240
홍수통제소,부항2(국),2020051023,0,259
홍수통제소,구미시(선주교),2020051023,0,188
보현산,영천시(하송리),2020051023,0,213
보현산,영천시(보현산댐),2020051023,0,229
홍수통제소,칠곡군(호국의다리),2020051023,0,176
홍수통제소,구미시(장천초교),2020051023,0,194
홍수통제소,성주군(옥화리),2020051023,0,231
홍수통제소,성주군(성주대교),2020051023,0,195
홍수통제소,포항시(죽장초교),2020051023,0,253
홍수통제소,영천시(화성리),2020051023,0,224
홍수통제소,영천시(치산리),2020051023,0,207
홍수통제소,영천시(영동교),2020051023,0,311
홍수통제소,영천시(정각리),2020051023,0,240
홍수통제소,경산시(곡신리),2020051023,0,210
홍수통제소,대구시(신암동),2020051023,0,179
홍수통제소,대구시(오리),2020051023,0,239
홍수통제소,영천시(가수리),2020051023,0,250
홍수통제소,경산시(자인중학교),2020051023,0,209
홍수통제소,대구시(성하리),2020051023,0,171
홍수통제소,대구시(사문진교),2020051023,0,165
홍수통제소,청도군(수월리),2020051023,0,218
홍수통제소,성주군(신파리),2020051023,0,276
홍수통제소,고령군(회천교),2020051023,0,195
홍수통제소,합천군(야로면사무소),2020051023,0,237
홍수통제소,거창군(산포리),2020051023,0,267
홍수통제소,거창군(병곡리),2020051023,0,339
합천,거창군(노현리),2020051023,0,272
합천,거창군(농산리),2020051023,0,294
합천,거창군(거열교),2020051023,0,247
합천,거창군(덕산리),2020051023,0,274
합천조정지,합천군(남정교),2020051023,0,235
합천,거창군(지산교),2020051023,0,239
합천,거창군(우혜리),2020051023,0,276
홍수통제소,합천군(황강교),2020051023,0,201
남강,산청군(장천리),2020051023,0,191
남강,산청군(향양리),2020051023,0,279
지자체(산청),산청읍(산청),2020051023,0,258
지자체(산청),거림1(산청),2020051023,0,171
지자체(산청),차황면(산청),2020051023,0,306
지자체(산청),거림2(산청),2020051023,0,543
지자체(산청),오부면(산청),2020051023,0,225
지자체(산청),내원1(산청),2020051023,0,0
지자체(산청),생초면(산청),2020051023,0,253
지자체(산청),내원2(산청),2020051023,0,551
지자체(산청),금서면(산청),2020051023,0,164
지자체(산청),문창대(산청),2020051023,0,498
지자체(산청),삼장면(산청),2020051023,0,434
지자체(산청),백운(산청),2020051023,0,533
지자체(산청),시천면(산청),2020051023,0,511
지자체(산청),법계사(산청),2020051023,0,275
지자체(산청),단성면(산청),2020051023,0,333
지자체(산청),법천폭포(산청),2020051023,0,624
지자체(산청),신안면(산청),2020051023,0,328
지자체(산청),새재(산청),2020051023,0,195
지자체(산청),생비량면(산청),2020051023,0,289
지자체(산청),신등면(산청),2020051023,0,282
지자체(산청),상부댐(산청),2020051023,0,35
지자체(산청),순두류(산청),2020051023,0,542
지자체(산청),오봉1(산청),2020051023,0,351
지자체(산청),오봉2(산청),2020051023,0,358
지자체(산청),외고개(산청),2020051023,0,432
지자체(산청),치밭목(산청),2020051023,0,275
지자체(산청),조개골(산청),2020051023,0,671
홍수통제소,창녕군(본초리),2020051023,0,233
홍수통제소,의령군(부림면사무소),2020051023,0,249
홍수통제소,의령군(청계리),2020051023,0,270
홍수통제소,의령군(성산리),2020051023,0,235
홍수통제소,합천군(적포교),2020051023,0,222
홍수통제소,고성군(두문교),2020051023,0,284
남강,산청군(내대리),2020051023,0,594
홍수통제소,함양군(중남리),2020051023,0,257
홍수통제소,남원시(화수리),2020051023,0,292
홍수통제소,산청군(상중리),2020051023,0,245
남강,산청군(경호교),2020051023,0,256
남강,산청군(하정리),2020051023,0,312
남강,산청군(창촌리),2020051023,0,406
홍수통제소,함양군(삼정리),2020051023,0,471
홍수통제소,산청군(동당리),2020051023,0,491
남강,함양군(금천리),2020051023,0,293
남강,함양군(용평리),2020051023,0,266
남강,남원시(운봉읍),2020051023,0,307
남강,합천군(소오리),2020051023,0,285
남강,함양군(운곡리),2020051023,0,326
남강,남원시(덕동리),2020051023,0,421
남강,남원시(의지리),2020051023,0,286
남강,산청군(실매리),2020051023,0,276
남강,함양군(화촌리),2020051023,0,227
남강,하동군(대곡리),2020051023,0,341
남강,하동군(위태리),2020051023,0,424
남강,진주시(자매리),2020051023,0,336
남강,진주시(장대동),2020051023,0,312
홍수통제소,진주시(운천리),2020051023,0,274
홍수통제소,함안군(대사교),2020051023,0,249
홍수통제소,의령군(정암교),2020051023,0,246
홍수통제소,의령군(칠곡초교),2020051023,0,253
밀양,울산시(이천리),2020051023,0,407
홍수통제소,창녕군(영산면사무소),2020051023,0,233
홍수통제소,창원시(수산대교),2020051023,0,222
홍수통제소,함안군(계내리),2020051023,0,229
홍수통제소,창녕군(청암리),2020051023,0,241
홍수통제소,밀양시(용전리),2020051023,0,259
홍수통제소,청도군(삼신리),2020051023,0,219
홍수통제소,밀양시(남포동),2020051023,0,211
홍수통제소,양산시(상북면사무소),2020051023,0,358
홍수통제소,부산시(명지초교),2020051023,0,347
홍수통제소,김해시(전하동),2020051023,0,316
홍수통제소,양산시(양산교),2020051023,0,316
홍수통제소,밀양시(삼랑진교),2020051023,0,223
홍수통제소,울산시(덕현리),2020051023,0,370
홍수통제소,울산시(신답교),2020051023,0,352
홍수통제소,경주시(연안리),2020051023,0,326
홍수통제소,울산시(삼동초교),2020051023,0,362
지자체(경주),강동면(경주),2020051023,0,302
지자체(경주),천북면(경주),2020051023,0,360
지자체(경주),서면(경주),2020051023,0,260
지자체(경주),현곡면(경주),2020051023,0,264
지자체(경주),내남면(경주),2020051023,0,299
지자체(경주),양북면(경주),2020051023,0,331
지자체(경주),양남면(경주),2020051023,0,304
지자체(경주),산내면(경주),2020051023,0,273
지자체(경주),안강읍(경주),2020051023,0,272
지자체(경주),건천읍(경주),2020051023,0,273
지자체(경주),동천동(경주),2020051023,0,302
지자체(경주),불국동(경주),2020051023,0,302
지자체(경주),감포읍(경주),2020051023,0,303
지자체(경주),외동읍(경주),2020051023,0,280
홍수통제소,경주시(시래동),2020051023,0,308
홍수통제소,포항시(현내리),2020051023,0,287
홍수통제소,경주시(달성교),2020051023,0,279
홍수통제소,경주시(검단리),2020051023,0,312
홍수통제소,경주시(옥산리),2020051023,0,252
홍수통제소,포항시(용기리),2020051023,0,261
홍수통제소,경주시(화산리),2020051023,0,339
홍수통제소,경주시(서천교),2020051023,0,261
홍수통제소,경주시(덕동),2020051023,0,385
홍수통제소,경주시(신평리),2020051023,0,258
홍수통제소,울산시(봉월초교),2020051023,0,313
홍수통제소,울산시(사연교),2020051023,0,325
지자체(울산),남구청(울산),2020051023,0,334.5
지자체(울산),시청(울산),2020051023,0,0
지자체(울산),동구청(울산),2020051023,0,320
지자체(울산),북구청(울산),2020051023,0,355
지자체(울산),강동동(울산),2020051023,0,294.5
지자체(울산),농소1동(울산),2020051023,0,345.5
지자체(울산),중구청(울산),2020051023,0,332.5
지자체(울산),웅촌면(울산),2020051023,0,342
지자체(울산),두동면(울산),2020051023,0,351
지자체(울산),온양읍(울산),2020051023,0,364
지자체(울산),온산읍(울산),2020051023,0,381
지자체(울산),언양읍(울산),2020051023,0,353
지자체(울산),상북면(울산),2020051023,0,335
지자체(울산),청량면(울산),2020051023,0,313
지자체(울산),서생면(울산),2020051023,0,357
지자체(울산),삼남면(울산),2020051023,0,340
지자체(울산),두서면(울산),2020051023,0,296
지자체(울산),범서읍(울산),2020051023,0,343
지자체(울산),삼동면(울산),2020051023,0,347
홍수통제소,양산시(삼호동),2020051023,0,99999
홍수통제소,영양군(신원리),2020051023,0,266
지자체(영양),수비면(영양),2020051023,0,202
지자체(영양),수하계곡(영양),2020051023,0,313
홍수통제소,경주시(국당리),2020051023,0,263
홍수통제소,무주군(안성초교),2020051023,0,241
홍수통제소,장수군(장수초교),2020051023,0,284
홍수통제소,무주군(원통사),2020051023,0,287
홍수통제소,진안군(대불리),2020051023,0,294
지자체(진안),진안군청(진안),2020051023,0, 
지자체(진안),안천면(진안),2020051023,0, 
지자체(진안),동향면(진안),2020051023,0, 
지자체(진안),상전면(진안),2020051023,0, 
지자체(진안),부귀면(진안),2020051023,0, 
지자체(진안),정천면(진안),2020051023,0, 
지자체(진안),주천면(진안),2020051023,0, 
지자체(진안),용담면(진안),2020051023,0, 
홍수통제소,무주군(적상초교),2020051023,0,240
대청,무주군(삼가리),2020051023,0,242
대청,무주군(기곡리),2020051023,0,216
대청,무주군(증산리),2020051023,0,261
홍수통제소,무주군(무주중앙초교),2020051023,0,218
홍수통제소,무주군(구천정수장),2020051023,0,346
대청,금산군(선원리),2020051023,0,218
대청,영동군(산막리),2020051023,0,229
지자체(금산),군북면(금산),2020051023,0, 
